date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-06-28 15:42:12+00:00,1636,3,απίστευτη δήλωση κυριάκου βελόπουλου για τις εκτρώσεις #αμβλωσεις #εκτρωσεις https://t.co/hyiirniiwx,2022,6,28,100,απίστευτη,"απίστευτη,δήλωση"
2022-06-28 15:39:23+00:00,169,3,"η απόφαση με βάση την θρησκεία για τις αμβλώσεις στην αμερική (κάτι που προσπαθούν και εδώ) είναι η απάντηση εμάς των άθεων σε εσάς που μας λέτε γιατί βρίζουμε την κάθε θρησκεία.
άμα θέλετε τέτοιες θρησκείες να τις βάλετε στον κώλο και στο σπίτι σας και μην μας ενοχλείτε.",2022,6,28,272,μας,"απόφαση,βάση"
2022-06-28 15:33:21+00:00,163,2,"από τη μιά ο ταρίφας, από την άλλη η αμερική με τις  αμβλώσεις, μάλλον πηγαίνουμε πίσω στο χρόνο, σε λίγο θα ξυπνήσω και θα είμαι πάλι 25 https://t.co/5ettnjrc25",2022,6,28,161,από,"από,τη"
2022-06-28 15:20:50+00:00,14422,2,"από τη μιά ο ταρίφας, από την άλλη η αμερική με τις  αμβλώσεις, μάλλον πηγαίνουμε πίσω στο χρόνο, σε λίγο θα ξυπνήσω και θα είμαι πάλι 25 https://t.co/5ettnjrc25",2022,6,28,161,από,"από,τη"
2022-06-28 15:16:05+00:00,2875,3,"η απόφαση με βάση την θρησκεία για τις αμβλώσεις στην αμερική (κάτι που προσπαθούν και εδώ) είναι η απάντηση εμάς των άθεων σε εσάς που μας λέτε γιατί βρίζουμε την κάθε θρησκεία.
άμα θέλετε τέτοιες θρησκείες να τις βάλετε στον κώλο και στο σπίτι σας και μην μας ενοχλείτε.",2022,6,28,272,μας,"απόφαση,βάση"
2022-06-28 15:15:17+00:00,2388,3,"η απόφαση με βάση την θρησκεία για τις αμβλώσεις στην αμερική (κάτι που προσπαθούν και εδώ) είναι η απάντηση εμάς των άθεων σε εσάς που μας λέτε γιατί βρίζουμε την κάθε θρησκεία.
άμα θέλετε τέτοιες θρησκείες να τις βάλετε στον κώλο και στο σπίτι σας και μην μας ενοχλείτε.",2022,6,28,272,μας,"απόφαση,βάση"
2022-06-28 15:13:13+00:00,468,7,απίστευτη δήλωση κυριάκου βελόπουλου για τις εκτρώσεις #αμβλωσεις #εκτρωσεις https://t.co/2jmothikq3,2022,6,28,100,απίστευτη,"απίστευτη,δήλωση"
2022-06-28 15:12:51+00:00,468,3,απίστευτη δήλωση κυριάκου βελόπουλου για τις εκτρώσεις #αμβλωσεις #εκτρωσεις https://t.co/hyiirniiwx,2022,6,28,100,απίστευτη,"απίστευτη,δήλωση"
2022-06-28 15:12:33+00:00,7645,0,#ιερέας για #αμβλώσεις: τουλάχιστον η πισπιρίγκου τα γέννησε και μετά τα σκότωσε https://t.co/jaasppovsn,2022,6,28,104,ιερέας,"ιερέας,αμβλώσεις"
2022-06-28 15:09:46+00:00,13048,0,"λουιζιάνα: προσωρινό «φρένο» στην εφαρμογή του νόμου για τις αμβλώσεις ύστερα από πιέσεις.

#αμβλωσεις https://t.co/thw2h2lpit",2022,6,28,126,λουιζιάνα,"λουιζιάνα,προσωρινό"
2022-06-28 15:04:07+00:00,1264,3,"το δυστυχημα ειναι οτι μεγαλο μερος του εθνο λουμπεναριού συμφωνει με την ελεεινη αποφαση των δικαστικων αρχων να αφησουν #κορκονεας ελευθερο

ειναι οι ιδιοι που βριζουν προσφυγες, που λυσσανε να καταργηθουν οι #αμβλωσεις, που δικαιολογουν γυναικοκτονιες

#γρηγοροπουλος",2022,6,28,270,δυστυχημα,"δυστυχημα,μεγαλο"
2022-06-28 15:02:51+00:00,19913,553,"κορίτσια να θυμαστε ότι οι #αμβλωσεις στην ελλάδα νομιμοποιήθηκαν,μόλις,το μαΐο του 1986 από το πασοκ και τα κόμματα της αριστεράς
οι #αμβλωσεις πολεμήθηκαν λυσσαλέα από τον πατερα του #κουλη και τη νδ
αδιαψευστος μάρτυρας δημοσιεύματα της εποχής κι αποσπάσματα ομιλιών βουλευτών https://t.co/i0l4t3k3lm",2022,6,28,303,αμβλωσεις,"κορίτσια,θυμαστε"
2022-06-28 14:33:58+00:00,146,0,"φραν λίμποβιτς: αν οι άντρες κυοφορούσαν, θα μοίραζαν τις αμβλώσεις δωρεάν στο δρόμο https://t.co/1kwsxnfzeh",2022,6,28,108,φραν,"φραν,λίμποβιτς"
2022-06-28 14:32:32+00:00,16,0,"αν είναι μια φορά ηλίθια και επικίνδυνη η απόφαση των δικαστηρίων των ηπα, για τις αμβλώσεις. άλλο τόσο και παραπάνω είναι το μισος που βγάζουν ορισμένες για τα παιδιά και την οικογένεια.",2022,6,28,187,είναι,"είναι,μια"
2022-06-28 14:31:22+00:00,484,3,ανωτατο δικαστηριο! αυτοι ειναι οι δικαστές  που κατήργησαν τις αμβλώσεις  στις ηπα... https://t.co/v2xsfkq1e6,2022,6,28,110,ανωτατο,"ανωτατο,δικαστηριο"
