date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-07-01 23:38:01,1596,543,"το ανώτατο δικαστήριο των ηπα αποτελείται από 9 μέλη.

3 μέλη τα διόρισε ο τραμπ στη θητεία του. από τους υπόλοιπους, οι 3 είναι democrats, οι 2 republicans (ο ένας εξ αυτών είναι ο chief justice).

και ο ένας από αυτούς είναι ο clarence thomas.

#αμβλωσεις #roevswade 
1/",2022,7,1,272,από,"είναι,ένας"
2022-07-01 22:57:23,26232,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 22:46:52,3832,5,"αυτό το χας ήταν η αφορμή να δούμε πόσα και πόσο βόδια είστε 

#αμβλωσεις",2022,7,1,73,αυτό,"αυτό,χας"
2022-07-01 22:35:51,787,10,"στην ελλάδα υπάρχει πρόβλημα υπογεννητικότητας μόνο όταν γίνεται συζήτηση για τις αμβλώσεις, όταν γίνεται συζήτηση για το προσφυγικό ή τα ζευγάρια που ζουν στο όριο της φτώχειας, πρόβλημα υπογεννητικότητας δεν υπάρχει.",2022,7,1,218,υπάρχει,"πρόβλημα,υπογεννητικότητας"
2022-07-01 22:35:30,1970,10,"στην ελλάδα υπάρχει πρόβλημα υπογεννητικότητας μόνο όταν γίνεται συζήτηση για τις αμβλώσεις, όταν γίνεται συζήτηση για το προσφυγικό ή τα ζευγάρια που ζουν στο όριο της φτώχειας, πρόβλημα υπογεννητικότητας δεν υπάρχει.",2022,7,1,218,υπάρχει,"πρόβλημα,υπογεννητικότητας"
2022-07-01 22:32:15,126,8,"εντάξει σε λίγο να φανταστώ είναι που θα μας καίνε για μάγισσες,δεν αργεί  

#αμβλωσεις
#abortions",2022,7,1,98,εντάξει,"εντάξει,λίγο"
2022-07-01 22:24:40,1206,10,"στην ελλάδα υπάρχει πρόβλημα υπογεννητικότητας μόνο όταν γίνεται συζήτηση για τις αμβλώσεις, όταν γίνεται συζήτηση για το προσφυγικό ή τα ζευγάρια που ζουν στο όριο της φτώχειας, πρόβλημα υπογεννητικότητας δεν υπάρχει.",2022,7,1,218,υπάρχει,"πρόβλημα,υπογεννητικότητας"
2022-07-01 22:23:46,7505,10,"στην ελλάδα υπάρχει πρόβλημα υπογεννητικότητας μόνο όταν γίνεται συζήτηση για τις αμβλώσεις, όταν γίνεται συζήτηση για το προσφυγικό ή τα ζευγάρια που ζουν στο όριο της φτώχειας, πρόβλημα υπογεννητικότητας δεν υπάρχει.",2022,7,1,218,υπάρχει,"πρόβλημα,υπογεννητικότητας"
2022-07-01 22:15:27,8766,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 22:11:57,196,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 22:08:31,112,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 22:05:23,1574,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 22:00:35,19716,106,θλιβερή εικόνα. καταστρέφουν τα μυαλά των ανθρώπων με την προπαγάνδα τους. #cancel_εκτρωσεις #roevswade #roevwade #mybodymychoice #αμβλωσεις https://t.co/vyjmjdrwyv,2022,7,1,164,θλιβερή,"θλιβερή,εικόνα"
